word,question-1,question-2,question-3,question-4,question-5,question-6,question-7,question-8,question-9,question-10,question-11,question-12,question-13,question-14
collect,0.019728906059302793,0.019700073528644228,0.019746147917705268,0.01973923557559906,0.01974435362876627,0.07199701130375166,0.08700708124633559,0.017401527929863825,0.016803594012182003,0.01708882042834587,0.016825042904405448,0.0162779503730131,0.016809179782548134,0.01769361217886871
ent,0.01972122997020148,0.01969243103603381,0.019738451690948216,0.019731547426345367,0.0197366594992911,0.038001242019214676,0.04024672378465306,0.01739626011311813,0.01679885067574109,0.017083831474904308,0.01682028138435446,0.03254727663983481,0.016804431715154194,0.01768807468101445
day,0.019713562835092627,0.0196847974322154,0.019730764457355856,0.01972386825453561,0.019728974358897745,0.03870878337327999,0.06888904988316537,0.01739099707800414,0.01679411135427343,0.01707884688880073,0.016815523904956043,0.01653394840197465,0.01679968766940837,0.01768254237959418
giv,0.01970590463658067,0.01967717269997046,0.01972308619942602,0.019716198042710426,0.01972129819009517,0.019721310750163337,0.0728338860802341,0.017385738817291933,0.01678937604211781,0.017073866663666518,0.01681077046049824,0.03305885945561254,0.016794947639636272,0.017677015266485182
post,0.01969825535731733,0.01966955682212711,0.019715416899704217,0.019708536773457973,0.019713630975439954,0.019713643520862655,0.07725324722827713,0.017380485323766872,0.016784644733624187,0.017068890793146062,0.01680602104528039,0.03359582097967816,0.01679021162017471,0.01767149333358249
without,0.01969061498000145,0.019661949781559985,0.01970775654078341,0.019700884429413732,0.019705972697536107,0.019705985228341796,0.11513261718051822,0.01737523659022959,0.016779917423153656,0.017063919270896698,0.016801275653613106,0.0170751003417972,0.016785479605371672,0.017665976572798874
menu,0.019682983487378812,0.019654351561190043,0.019700105105303914,0.019693240993260357,0.01969832333903495,0.019698335855251978,0.054630296050687976,0.017369992609495913,0.03355038821015686,0.017058952090588695,0.033593068559636466,0.01707012339280869,0.016780751589586283,0.017660464976064758
irregul,0.019675360862241996,0.019646762143984427,0.01969246257595317,0.019685606447727516,0.01969068288263489,0.019690695384291548,0.05663667133083538,0.017364753374396857,0.01705164179865271,0.017053989245905225,0.017073679142402095,0.017065150793661762,0.016776027567188805,0.017654958535328176
chang,0.019667747087430198,0.019639181512956287,0.019684828935465637,0.019677980775591714,0.019683051311081296,0.019683063798205804,0.01959790918477879,0.06943807551111425,0.017046685330200186,0.017049030730542297,0.01706870343579706,0.01706018253802348,0.016771307532560564,0.01764945724255474
password,0.019660142145829076,0.019631609651164644,0.019677204166622574,0.019670363959676137,0.01967542860716634,0.019675441079786818,0.019590384948038615,0.07315995238046531,0.017041733181803857,0.017044076538208757,0.017063732077224437,0.017055218619573816,0.01676659148009397,0.017643961089727583
